Run_num,Dataset,Method,Percentage,accuracy_un_norm,accuracy_norm,precision,recall,f1_score_micro,f1_score_macro,test_set_size,time
0,blogcatalog,Node2Vec,5,2620,0.2674288047,0.2832598316,0.2674288047,0.2674288047,0.1372623138,9797,6807.635563
0,blogcatalog,Node2Vec,10,2738,0.2950113134,0.307432118,0.2950113134,0.2950113134,0.1609499918,9281,6807.635563
0,blogcatalog,Node2Vec,20,2691,0.3261818182,0.3141524465,0.3261818182,0.3261818182,0.1953835824,8250,6807.635563
0,blogcatalog,Node2Vec,30,2424,0.335780579,0.3219181539,0.335780579,0.335780579,0.2076904572,7219,6807.635563
0,blogcatalog,Node2Vec,40,2130,0.3442146089,0.3242411002,0.3442146089,0.3442146089,0.217581119,6188,6807.635563
0,blogcatalog,Node2Vec,50,1850,0.3588052754,0.3417323381,0.3588052754,0.3588052754,0.2392523414,5156,6807.635563
0,blogcatalog,Node2Vec,60,1453,0.3522424242,0.3382017553,0.3522424242,0.3522424242,0.2310446325,4125,6807.635563
0,blogcatalog,Node2Vec,70,1172,0.3787976729,0.3652459152,0.3787976729,0.3787976729,0.24160984,3094,6807.635563
0,blogcatalog,Node2Vec,80,794,0.3848763936,0.3744569359,0.3848763936,0.3848763936,0.2515950283,2063,6807.635563
0,blogcatalog,Node2Vec,90,373,0.3614341085,0.3707094289,0.3614341085,0.3614341085,0.2362141837,1032,6807.635563
1,blogcatalog,Node2Vec,5,2569,0.2622231295,0.2777806302,0.2622231295,0.2622231295,0.1305853357,9797,6703.266269
1,blogcatalog,Node2Vec,10,2716,0.2926408792,0.2838005153,0.2926408792,0.2926408792,0.1597490502,9281,6703.266269
1,blogcatalog,Node2Vec,20,2634,0.3192727273,0.3163545928,0.3192727273,0.3192727273,0.1933899255,8250,6703.266269
1,blogcatalog,Node2Vec,30,2367,0.3278847486,0.3125964079,0.3278847486,0.3278847486,0.2043640204,7219,6703.266269
1,blogcatalog,Node2Vec,40,2083,0.3366192631,0.3138170986,0.3366192631,0.3366192631,0.2158498118,6188,6703.266269
1,blogcatalog,Node2Vec,50,1775,0.3442591156,0.3143317048,0.3442591156,0.3442591156,0.2173035536,5156,6703.266269
1,blogcatalog,Node2Vec,60,1484,0.3597575758,0.3470848766,0.3597575758,0.3597575758,0.2357080763,4125,6703.266269
1,blogcatalog,Node2Vec,70,1148,0.371040724,0.357663493,0.371040724,0.371040724,0.2553655328,3094,6703.266269
1,blogcatalog,Node2Vec,80,740,0.358700921,0.3505699927,0.358700921,0.358700921,0.2375846046,2063,6703.266269
1,blogcatalog,Node2Vec,90,395,0.382751938,0.3819441366,0.382751938,0.382751938,0.2591402238,1032,6703.266269
2,blogcatalog,Node2Vec,5,2669,0.2724303358,0.2896050352,0.2724303358,0.2724303358,0.1323563245,9797,6596.923056
2,blogcatalog,Node2Vec,10,2728,0.2939338433,0.3106130424,0.2939338433,0.2939338433,0.1768952203,9281,6596.923056
2,blogcatalog,Node2Vec,20,2607,0.316,0.3124708121,0.316,0.316,0.1891044337,8250,6596.923056
2,blogcatalog,Node2Vec,30,2424,0.335780579,0.3196895567,0.335780579,0.335780579,0.2111967552,7219,6596.923056
2,blogcatalog,Node2Vec,40,2092,0.338073691,0.3188251981,0.338073691,0.338073691,0.2141623402,6188,6596.923056
2,blogcatalog,Node2Vec,50,1807,0.3504654771,0.3374467132,0.3504654771,0.3504654771,0.2291424572,5156,6596.923056
2,blogcatalog,Node2Vec,60,1470,0.3563636364,0.3323554578,0.3563636364,0.3563636364,0.2275172654,4125,6596.923056
2,blogcatalog,Node2Vec,70,1136,0.3671622495,0.3450798124,0.3671622495,0.3671622495,0.2474799091,3094,6596.923056
2,blogcatalog,Node2Vec,80,756,0.3664566166,0.3580435873,0.3664566166,0.3664566166,0.2449026399,2063,6596.923056
2,blogcatalog,Node2Vec,90,377,0.3653100775,0.3629136722,0.3653100775,0.3653100775,0.2450695539,1032,6596.923056
3,blogcatalog,Node2Vec,5,2715,0.2771256507,0.2895853035,0.2771256507,0.2771256507,0.1382230035,9797,6695.079146
3,blogcatalog,Node2Vec,10,2704,0.2913479151,0.2997536307,0.2913479151,0.2913479151,0.159848253,9281,6695.079146
3,blogcatalog,Node2Vec,20,2645,0.3206060606,0.3129704221,0.3206060606,0.3206060606,0.1904649387,8250,6695.079146
3,blogcatalog,Node2Vec,30,2384,0.3302396454,0.3150834204,0.3302396454,0.3302396454,0.2052713423,7219,6695.079146
3,blogcatalog,Node2Vec,40,2095,0.3385585003,0.3136272919,0.3385585003,0.3385585003,0.2226993503,6188,6695.079146
3,blogcatalog,Node2Vec,50,1876,0.3638479441,0.3466532502,0.3638479441,0.3638479441,0.2436196393,5156,6695.079146
3,blogcatalog,Node2Vec,60,1496,0.3626666667,0.3380932136,0.3626666667,0.3626666667,0.2378501451,4125,6695.079146
